visit_id,date,country,traffic_source,device_type,browser,page,session_duration_sec,pages_viewed,bounce,conversion
1,13-04-2025,Turkey,Referral,Desktop,Chrome,/about,49,7,0,0
2,15-12-2025,Turkey,Social Media,Mobile,Chrome,/blog,785,3,0,0
3,28-09-2025,India,Direct,Desktop,Safari,/blog,1734,13,0,0
4,17-04-2025,Italy,Organic Search,Mobile,Opera,/blog,529,5,0,0
5,13-03-2025,Mexico,Email,Mobile,Opera,/contact,1649,10,1,0
6,08-07-2025,South Africa,Organic Search,Mobile,Edge,/about,1770,6,0,0
7,21-01-2025,Netherlands,Referral,Desktop,Chrome,/login,555,6,0,0
8,13-04-2025,UK,Organic Search,Mobile,Edge,/login,245,14,0,0
9,02-05-2025,Japan,Direct,Mobile,Chrome,/about,472,4,0,0
10,03-08-2025,France,Email,Mobile,Safari,/login,1261,6,0,0
11,27-11-2025,Mexico,Referral,Mobile,Opera,/home,1733,3,1,0
12,29-03-2025,USA,Email,Desktop,Opera,/contact,492,7,0,0
13,10-04-2025,Canada,Social Media,Desktop,Safari,/,439,7,0,0
14,26-12-2025,India,Organic Search,Mobile,Edge,/,1055,4,0,0
15,01-06-2025,France,Email,Desktop,Edge,/,352,2,0,0
16,11-05-2025,France,Paid Ads,Mobile,Firefox,/,1073,11,0,0
17,30-05-2025,USA,Organic Search,Mobile,Chrome,/,1206,7,0,0
18,05-11-2025,Saudi Arabia,Social Media,Mobile,Edge,/login,1472,3,0,1
19,15-09-2025,Indonesia,Email,Tablet,Safari,/pricing,1212,1,0,0
20,10-12-2025,Netherlands,Referral,Mobile,Edge,/blog,1631,2,0,0
21,21-10-2025,Italy,Social Media,Desktop,Opera,/contact,142,10,0,0
22,11-07-2025,Brazil,Paid Ads,Desktop,Chrome,/pricing,360,9,0,0
23,04-10-2025,Mexico,Email,Mobile,Firefox,/contact,1558,12,0,0
24,10-06-2025,South Africa,Direct,Desktop,Chrome,/home,1573,8,0,0
25,10-11-2025,Australia,Organic Search,Desktop,Opera,/about,515,14,1,0
26,22-01-2025,UK,Referral,Mobile,Opera,/products,93,6,0,0
27,10-09-2025,South Africa,Direct,Mobile,Opera,/blog,1002,14,0,0
28,24-08-2025,Pakistan,Email,Tablet,Opera,/home,1497,6,0,0
29,11-12-2025,Turkey,Email,Desktop,Safari,/pricing,839,14,1,0
30,18-02-2025,Australia,Social Media,Desktop,Firefox,/products,870,1,1,1
31,28-02-2025,South Africa,Email,Desktop,Opera,/about,352,2,0,0
32,19-06-2025,Italy,Referral,Tablet,Opera,/home,1313,4,0,0
33,07-07-2025,India,Direct,Mobile,Edge,/about,875,3,1,0
34,28-09-2025,Mexico,Referral,Mobile,Firefox,/about,1296,14,0,0
35,09-07-2025,Spain,Paid Ads,Tablet,Chrome,/login,1199,1,0,0
36,24-06-2025,Mexico,Paid Ads,Mobile,Firefox,/contact,302,8,1,1
37,20-02-2025,UAE,Organic Search,Mobile,Firefox,/products,1542,7,0,0
38,30-12-2025,South Africa,Organic Search,Desktop,Firefox,/contact,1613,4,0,0
39,24-02-2025,Brazil,Paid Ads,Mobile,Opera,/about,1259,12,1,0
40,01-09-2025,China,Email,Mobile,Opera,/login,1203,12,0,0
41,16-11-2025,South Africa,Referral,Mobile,Safari,/home,607,9,0,0
42,11-05-2025,USA,Paid Ads,Tablet,Chrome,/about,654,11,0,0
43,03-11-2025,China,Organic Search,Tablet,Edge,/pricing,457,14,0,0
44,15-05-2025,India,Paid Ads,Mobile,Firefox,/about,699,4,0,0
45,21-01-2025,France,Email,Mobile,Chrome,/contact,1011,1,0,0
46,25-11-2025,Turkey,Paid Ads,Mobile,Chrome,/products,864,10,0,0
47,16-06-2025,Turkey,Referral,Desktop,Safari,/home,511,1,1,1
48,01-10-2025,UK,Direct,Desktop,Edge,/contact,773,1,0,0
49,30-03-2025,USA,Email,Mobile,Firefox,/about,1560,1,1,0
50,12-11-2025,Australia,Organic Search,Mobile,Edge,/pricing,744,4,1,1
51,14-01-2025,Brazil,Referral,Desktop,Safari,/blog,1412,1,0,0
52,30-08-2025,South Africa,Paid Ads,Tablet,Opera,/login,1234,2,0,0
53,22-09-2025,South Africa,Paid Ads,Desktop,Chrome,/pricing,1652,4,1,0
54,12-12-2025,Saudi Arabia,Direct,Desktop,Firefox,/about,259,7,0,1
55,22-02-2025,China,Organic Search,Mobile,Opera,/pricing,1442,2,0,0
56,06-12-2025,Turkey,Organic Search,Desktop,Safari,/login,610,8,0,0
57,02-04-2025,China,Social Media,Desktop,Edge,/blog,134,13,1,1
58,21-09-2025,Saudi Arabia,Organic Search,Desktop,Chrome,/pricing,122,7,0,0
59,04-02-2025,Italy,Direct,Mobile,Firefox,/blog,990,9,0,0
60,25-07-2025,China,Social Media,Mobile,Opera,/about,1170,14,0,0
61,22-03-2025,Netherlands,Social Media,Mobile,Opera,/blog,1792,6,1,0
62,19-02-2025,Germany,Paid Ads,Mobile,Chrome,/contact,1529,4,0,0
63,26-12-2025,USA,Paid Ads,Desktop,Edge,/contact,1711,6,0,0
64,02-01-2025,USA,Organic Search,Tablet,Safari,/blog,159,4,0,0
65,23-02-2025,Indonesia,Social Media,Desktop,Edge,/home,884,7,0,0
66,16-04-2025,UAE,Paid Ads,Tablet,Edge,/products,352,9,0,0
67,17-09-2025,Netherlands,Direct,Mobile,Edge,/home,589,3,0,0
68,06-11-2025,UAE,Paid Ads,Tablet,Chrome,/blog,1766,3,0,0
69,10-07-2025,France,Email,Desktop,Chrome,/products,792,2,1,1
70,06-08-2025,Japan,Email,Mobile,Safari,/contact,330,1,0,0
71,13-02-2025,UK,Paid Ads,Desktop,Edge,/products,831,14,0,0
72,11-06-2025,South Africa,Social Media,Desktop,Chrome,/blog,541,1,1,0
73,21-07-2025,India,Social Media,Mobile,Safari,/contact,1322,13,0,0
74,27-09-2025,Japan,Referral,Desktop,Safari,/products,1522,3,0,1
75,17-12-2025,USA,Email,Mobile,Edge,/products,501,14,1,0
76,31-10-2025,Japan,Direct,Desktop,Firefox,/home,621,7,0,0
77,28-09-2025,UAE,Social Media,Desktop,Edge,/products,261,11,0,0
78,03-08-2025,Spain,Organic Search,Mobile,Firefox,/about,1110,9,0,0
